구분,음식군,음식명,"음식총량
(ml)",식품명,식품코드,"식품
재료량
(g)",+/*,비고
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"멥쌀, 백미, 생것",A008000A030a,7.15,*,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"멥쌀밥, 백미",A013000A039a,130.56,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,물엿,C0070000009a,1.47,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"설탕, 백설탕",C0110020009a,1.24,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"참깨, 흰깨, 볶은것",E0260020009n,0.9,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"고추, 풋고추, 생것",F0180000620a,0.36,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"고추, 청양고추, 생것",F0180080000a,0.52,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"당근, 뿌리, 생것",F041000B090a,6.15,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"들깻잎, 생것",F049000B140a,3.84,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"마늘, 구근, 생것",F053000B060a,0.83,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"무, 조선무, 생것",F065002B090a,3.88,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"무순, 싹, 생것",F066000B120a,1.38,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"상추, 치마상추, 청상추, 생것",F1010162490a,6.35,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"상추, 치마상추, 적상추, 생것",F1010162500a,1.33,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"생강, 뿌리줄기, 생것",F102000B100a,0.088,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"양배추, 생것",F1290000000a,15.7,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"양배추, 적양배추, 생것",F1290010000a,2.92,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"양상추, 생것",F1310000000a,1.99,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"양파, 생것",F1320000000a,3.09,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"오이, 개량종, 생것",F1480010000a,9.59,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"치커리, 잎, 생것",F178000B140a,1.1,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"배, 신고, 생것",H0380040000a,1.68,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"날치 부산물, 알, 생것",K025000D590a,2.46,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"넙치(광어), 생것",K0270000000a,66.25,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"김, 맛김, 조미, 구운것",L0030040009f,1.27,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,참기름,N0200000009a,1.67,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"탄산 음료, 사이다",P0090030009a,1.66,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"고추장, 개량",R0050010009a,7.09,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,초고추장,R0060000009a,8.5,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"고춧가루, 가루",R0070000005a,0.37,,
음식업소,밥류,넙치(광어)회덮밥(양념장포함),510,"식초, 양조",R0220060009a,1.55,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"멥쌀, 백미, 생것",A008000A030a,8.97,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"멥쌀밥, 백미",A013000A039a,164.67,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,물엿,C0070000009a,0.3,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"설탕, 백설탕",C0110020009a,0.13,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"들깨, 말린것",E0050000001a,0.1,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"참깨, 흰깨, 볶은것",E0260020009n,0.69,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"고사리, 데친것",F0160000009c,11.73,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"당근, 뿌리, 생것",F041000B090a,6.77,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"도라지, 뿌리, 생것",F044000B090a,4.48,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"마늘, 구근, 생것",F053000B060a,0.25,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"무, 조선무, 생것",F065002B090a,22.91,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"부추, 재래종, 생것",F0910040000a,2.3,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"상추, 치마상추, 청상추, 생것",F1010162490a,3.4,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"상추, 치마상추, 적상추, 생것",F1010162500a,2.2,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"생강, 뿌리줄기, 생것",F102000B100a,0.0044,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"시금치, 데친것",F1150000009c,6.62,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"시금치, 하우스, 생것",F1150030000a,5.8,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"양파, 생것",F1320000000a,0.89,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"오이, 개량종, 생것",F1480010000a,2.13,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"취나물, 참취, 데친것",F1770030009c,2.14,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"콩나물, 생것",F1820000000a,8.19,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"콩나물, 삶은것",F1820000009b,20.69,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"파, 대파, 생것",F1910040000a,0.84,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"호박, 애호박, 생것",F1980050000a,5.24,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"고구마, 줄기, 삶은것",F208000B169b,1.74,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"느타리버섯, 생것",G0040000000a,2.96,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"느타리버섯, 데친것",G0040000009c,1.47,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"표고버섯, 재배, 생것",G0270020000a,1.72,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"표고버섯, 재배, 데친것",G0270020009c,0.64,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"소고기, 한우, 등심, 생것",I027003D110a,0.25,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"소고기, 한우, 양지, 생것",I027003D280a,0.31,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"소고기, 한우(1등급), 목심(목심살), 생것",I027006D130a,0.36,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"소고기, 한우(1등급), 앞다리(꾸리살), 생것",I027006D220a,0.056,,
음식업소,밥류,돌솥비빔밥(양념장포함),550,"소고기, 한우(1등급), 우둔(우둔살), 생것",I027006D260a,0.14,+,
